S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
1,2021-12-29,34,696.00,842596.00,1227.00,1205.00,1227.00
2,2021-12-28,48,1322.00,1575896.80,1227.00,1180.10,1227.00
3,2021-12-27,45,1023.00,1256329.00,1285.20,1204.00,1204.00
4,2021-12-26,43,2051.00,2510045.00,1239.80,1194.20,1238.80
5,2021-12-23,41,1153.00,1390142.00,1221.00,1181.10,1200.00
6,2021-12-22,45,1929.00,2303884.60,1215.80,1170.00,1200.00
7,2021-12-21,38,1325.00,1499667.00,1149.00,1110.00,1148.00
8,2021-12-20,27,470.00,535034.50,1156.00,1125.00,1125.00
9,2021-12-16,22,595.00,687827.00,1165.00,1143.50,1156.00
10,2021-12-15,44,1547.00,1857922.00,1240.00,1165.00,1165.00
11,2021-12-14,22,518.00,610180.00,1199.00,1100.00,1199.00
12,2021-12-13,51,1827.00,2044369.00,1183.00,1077.00,1101.10
13,2021-12-12,26,465.00,554086.00,1220.00,1182.20,1183.00
14,2021-12-09,34,780.00,960028.00,1242.00,1217.20,1241.90
15,2021-12-08,33,1474.00,1893999.00,1300.00,1265.00,1267.00
16,2021-12-07,33,1053.00,1402565.90,1352.00,1312.00,1312.00
17,2021-12-06,60,1550.00,1992907.10,1326.00,1221.00,1326.00
18,2021-12-05,63,1799.00,2338800.00,1330.00,1280.00,1290.00
19,2021-12-02,45,1594.00,2117891.00,1350.00,1320.00,1330.00
20,2021-12-01,14,200.00,272485.00,1375.00,1360.00,1362.00
21,2021-11-30,26,911.00,1242330.00,1386.00,1333.00,1381.00
22,2021-11-29,37,1861.00,2514906.00,1385.00,1340.10,1360.00
23,2021-11-28,47,1014.00,1384905.00,1398.00,1347.00,1360.00
24,2021-11-25,38,768.00,1080251.00,1453.00,1396.50,1400.00
25,2021-11-24,61,2059.00,2892455.10,1425.00,1400.00,1424.90
26,2021-11-23,24,783.00,1108945.00,1422.00,1405.10,1411.00
27,2021-11-22,39,965.00,1369285.50,1430.00,1405.00,1430.00
28,2021-11-21,32,570.00,812841.50,1432.00,1415.00,1421.00
29,2021-11-18,37,1321.00,1905442.00,1510.00,1414.00,1431.00
30,2021-11-17,50,2445.00,3542107.20,1490.00,1433.00,1453.90
31,2021-11-16,45,1102.00,1595039.20,1476.00,1425.00,1438.10
32,2021-11-15,40,2338.00,3361312.00,1448.00,1424.10,1448.00
33,2021-11-14,34,1080.00,1544632.00,1470.00,1418.20,1430.00
34,2021-11-11,59,1437.00,2040112.70,1494.00,1380.00,1445.00
35,2021-11-09,74,2826.00,4157614.80,1570.00,1450.40,1465.00
36,2021-11-08,41,1528.00,2390780.00,1589.00,1540.00,1540.00
37,2021-11-03,37,2440.00,3852010.70,1630.00,1575.00,1575.10
38,2021-11-02,34,1442.00,2292064.00,1600.00,1568.00,1600.00
39,2021-11-01,105,4947.00,7870184.60,1660.00,1515.00,1620.00
40,2021-10-31,153,7264.00,11509178.90,1636.00,1510.00,1636.00
41,2021-10-28,49,1481.00,2248177.00,1540.00,1501.00,1525.00
42,2021-10-27,60,2262.00,3436652.00,1540.00,1494.50,1502.00
43,2021-10-26,71,2116.00,3204586.00,1574.00,1490.00,1542.60
44,2021-10-25,55,3358.00,5025641.00,1554.20,1439.00,1519.00
45,2021-10-24,38,723.00,1021995.00,1428.00,1395.00,1428.00
46,2021-10-21,23,736.00,1028988.50,1405.00,1381.00,1396.10
47,2021-10-20,32,998.00,1403355.00,1420.00,1374.00,1399.00
48,2021-10-19,63,2773.00,3814206.60,1418.00,1360.00,1375.00
49,2021-10-18,50,1634.00,2358438.00,1475.00,1425.00,1440.00
50,2021-10-17,25,541.00,799839.50,1500.00,1460.10,1490.00
51,2021-10-11,42,1391.00,1983202.10,1457.00,1410.00,1448.00
52,2021-10-10,58,1887.00,2867364.00,1565.00,1470.00,1485.00
53,2021-10-06,125,5858.00,8950137.50,1549.00,1466.90,1535.00
54,2021-10-05,72,2016.00,2872582.80,1440.00,1410.00,1438.90
55,2021-10-04,53,1324.00,1822825.00,1395.00,1326.00,1385.00
56,2021-10-03,30,792.00,1068391.60,1365.00,1335.10,1351.00
57,2021-09-30,60,2923.00,3992744.90,1400.00,1350.00,1355.00
58,2021-09-29,59,1429.00,1918088.00,1387.20,1310.00,1349.00
59,2021-09-28,52,1611.00,2157029.00,1356.00,1323.10,1329.00
60,2021-09-27,51,1740.00,2363360.00,1400.00,1350.00,1357.00
61,2021-09-26,51,2435.00,3436715.00,1430.60,1397.00,1397.00
62,2021-09-23,63,2128.00,3126068.10,1522.00,1423.00,1425.10
63,2021-09-22,57,1440.00,2118847.50,1490.00,1455.00,1463.00
64,2021-09-21,70,1514.00,2150535.00,1452.00,1372.00,1429.00
65,2021-09-20,90,3437.00,4993909.00,1503.00,1402.10,1427.00
66,2021-09-16,71,2298.00,3390787.00,1499.00,1470.00,1499.00
67,2021-09-15,42,855.00,1285903.50,1515.00,1500.00,1503.00
68,2021-09-14,46,1702.00,2585763.60,1548.90,1505.00,1519.00
69,2021-09-13,55,1240.00,1895695.00,1556.50,1510.00,1520.00
70,2021-09-12,67,1624.00,2463511.00,1540.00,1501.00,1526.00
71,2021-09-09,76,3672.00,5535917.00,1540.00,1500.00,1501.00
72,2021-09-08,76,2919.00,4408382.00,1529.90,1490.00,1510.00
73,2021-09-07,57,2040.00,3085034.00,1540.00,1495.00,1510.00
74,2021-09-06,84,3350.00,5120316.50,1550.00,1490.00,1540.00
75,2021-09-05,100,4265.00,6381768.00,1530.00,1484.00,1500.00
76,2021-09-02,74,3189.00,4998817.00,1613.50,1540.00,1545.00
77,2021-09-01,70,2650.00,4220975.00,1615.00,1570.00,1581.00
78,2021-08-31,94,3501.00,5540563.00,1605.00,1570.00,1580.00
79,2021-08-29,122,7040.00,11496369.50,1672.00,1612.00,1621.00
80,2021-08-26,89,2814.00,4636240.80,1672.00,1621.00,1639.00
81,2021-08-25,98,3469.00,5748022.10,1675.00,1650.00,1650.10
82,2021-08-24,102,3851.00,6443506.00,1700.00,1650.00,1663.00
83,2021-08-19,131,5752.00,9649054.40,1705.00,1653.20,1672.30
84,2021-08-18,95,2530.00,4210937.50,1675.00,1640.00,1666.00
85,2021-08-17,78,2280.00,3822036.10,1680.00,1667.00,1668.00
86,2021-08-16,122,7443.00,12633325.30,1709.90,1657.10,1692.00
87,2021-08-15,157,6338.00,10687834.30,1714.90,1650.00,1690.00
88,2021-08-12,108,4889.00,8088513.00,1670.00,1647.00,1655.00
89,2021-08-11,83,2601.00,4362610.50,1699.00,1670.00,1670.30
90,2021-08-10,137,5564.00,9349437.10,1700.00,1618.00,1684.00
91,2021-08-09,145,5028.00,8393226.50,1730.00,1651.00,1651.00
92,2021-08-08,110,5075.00,8632575.20,1729.00,1696.00,1697.00
93,2021-08-05,205,11249.00,19513217.00,1770.00,1697.40,1721.00
94,2021-08-04,409,22833.00,40417024.50,1870.00,1730.00,1732.00
95,2021-08-03,333,17950.00,31010621.00,1750.00,1690.00,1728.00
96,2021-08-02,128,5226.00,8778484.00,1698.00,1667.00,1675.10
97,2021-08-01,174,9190.00,15370626.40,1703.40,1655.00,1665.00
98,2021-07-29,130,8029.00,13475357.50,1705.00,1665.00,1670.00
99,2021-07-28,179,9621.00,16379235.70,1735.00,1681.00,1697.00
100,2021-07-27,259,10109.00,17011187.00,1708.00,1648.00,1690.00
101,2021-07-26,262,10572.00,18266095.00,1745.00,1700.00,1731.00
102,2021-07-25,318,20928.00,35091536.50,1734.00,1630.00,1734.00
103,2021-07-22,99,3876.00,6331459.60,1650.00,1621.00,1642.00
104,2021-07-20,73,2144.00,3515505.00,1683.00,1630.00,1645.00
105,2021-07-19,127,5609.00,9250088.80,1670.00,1607.00,1650.00
106,2021-07-18,173,5852.00,9471175.00,1635.00,1600.00,1630.00
107,2021-07-15,46,890.00,1397080.00,1580.00,1551.00,1574.00
108,2021-07-14,57,1983.00,3083570.00,1580.00,1530.00,1569.00
109,2021-07-13,51,1558.00,2436251.00,1575.00,1539.00,1552.00
110,2021-07-12,78,2946.00,4606381.00,1600.00,1539.00,1539.00
111,2021-07-11,75,2522.00,3933167.00,1582.00,1541.00,1570.00
112,2021-07-08,79,1734.00,2631054.00,1540.00,1490.00,1522.00
113,2021-07-07,96,3199.00,4832829.00,1541.00,1481.00,1500.00
114,2021-07-06,48,1215.00,1828485.00,1529.00,1500.00,1510.00
115,2021-07-05,78,4028.00,6107817.00,1530.00,1510.00,1516.00
116,2021-07-04,61,1586.00,2424810.00,1545.00,1515.00,1530.00
117,2021-07-01,64,1206.00,1851107.00,1560.00,1526.00,1531.00
118,2021-06-30,63,1843.00,2807356.00,1545.00,1515.00,1530.00
119,2021-06-29,123,5281.00,8321930.00,1610.00,1540.00,1541.00
120,2021-06-28,149,4564.00,7031606.00,1573.00,1476.00,1540.00
121,2021-06-27,98,1930.00,2866049.00,1495.00,1472.00,1485.00
122,2021-06-24,101,2946.00,4384921.00,1515.00,1480.00,1492.00
123,2021-06-23,97,3715.00,5630560.00,1540.00,1501.00,1513.00
124,2021-06-22,149,6308.00,9655976.00,1560.00,1520.00,1530.00
125,2021-06-21,143,3923.00,6051845.00,1571.00,1533.00,1533.00
126,2021-06-20,140,5174.00,8096821.00,1615.00,1549.00,1555.00
127,2021-06-17,83,2894.00,4621865.00,1634.00,1585.00,1590.00
128,2021-06-16,262,10167.00,16533790.00,1681.00,1532.00,1612.00
129,2021-06-15,163,6820.00,10687108.00,1600.00,1558.00,1560.00
130,2021-06-14,139,5057.00,7980209.00,1600.00,1568.00,1570.00
131,2021-06-13,148,3569.00,5671505.00,1632.00,1569.00,1586.00
132,2021-06-10,167,6794.00,10841660.00,1625.00,1585.00,1600.00
133,2021-06-09,106,4443.00,7175306.00,1630.00,1602.00,1608.00
134,2021-06-08,124,4469.00,7195814.00,1625.00,1602.00,1606.00
135,2021-06-07,92,3200.00,5200312.00,1650.00,1615.00,1615.00
136,2021-06-06,188,7444.00,12288787.00,1670.00,1637.00,1640.00
137,2021-06-03,184,7348.00,11983081.00,1665.00,1595.00,1630.00
138,2021-06-02,143,7333.00,11682122.00,1600.00,1586.00,1607.00
139,2021-06-01,107,3534.00,5628520.00,1600.00,1586.00,1597.00
140,2021-05-31,159,7007.00,11273261.00,1624.00,1591.00,1594.00
141,2021-05-30,300,11100.00,17834265.00,1650.00,1590.00,1605.00
142,2021-05-27,565,28630.00,46588692.00,1664.00,1565.00,1633.00
143,2021-05-25,132,6141.00,10553880.00,1750.00,1709.00,1710.00
144,2021-05-24,213,17969.00,31339355.00,1790.00,1706.00,1730.00
145,2021-05-23,193,11244.00,19793606.00,1790.00,1710.00,1760.00
146,2021-05-20,188,18965.00,33789021.00,1799.00,1751.00,1799.00
147,2021-05-19,331,18484.00,33032133.00,1820.00,1766.00,1800.00
148,2021-05-18,547,37400.00,64985471.00,1785.00,1675.00,1780.00
149,2021-05-17,223,10379.00,17490570.00,1705.00,1660.00,1680.00
150,2021-05-16,292,17984.00,29911325.00,1677.00,1631.00,1677.00
151,2021-05-13,113,3323.00,5456925.00,1665.00,1600.00,1630.00
152,2021-05-12,73,2373.00,3847298.00,1636.00,1610.00,1618.00
153,2021-05-11,133,5683.00,9317454.00,1650.00,1610.00,1635.00
154,2021-05-10,98,4006.00,6460120.00,1636.00,1590.00,1620.00
155,2021-05-09,134,4566.00,7361661.00,1642.00,1595.00,1612.00
156,2021-05-06,171,9289.00,15246975.00,1675.00,1629.00,1642.00
157,2021-05-05,289,13725.00,22980277.00,1731.00,1641.00,1670.00
158,2021-05-04,251,11581.00,18882768.00,1649.00,1580.00,1649.00
159,2021-05-03,179,7444.00,11961560.00,1632.00,1600.00,1605.00
160,2021-05-02,193,7610.00,12171931.00,1608.00,1580.00,1605.00
161,2021-04-29,64,1419.00,2239634.00,1594.00,1563.00,1583.00
162,2021-04-28,91,3183.00,4994764.00,1625.00,1555.00,1580.00
163,2021-04-27,143,5004.00,7864348.00,1600.00,1540.00,1595.00
164,2021-04-26,172,6235.00,9588376.00,1595.00,1472.00,1534.00
165,2021-04-25,265,15888.00,24961330.00,1659.00,1539.00,1562.00
166,2021-04-22,175,6445.00,10184739.00,1604.00,1555.00,1600.00
167,2021-04-21,128,4153.00,6546525.00,1600.00,1570.00,1571.00
168,2021-04-20,188,7240.00,11573304.00,1645.00,1531.00,1582.00
169,2021-04-19,142,4012.00,6405040.00,1630.00,1574.00,1579.00
170,2021-04-18,169,5525.00,8919825.00,1650.00,1605.00,1605.00
171,2021-04-15,159,6484.00,10677640.00,1660.00,1637.00,1639.00
172,2021-04-13,173,11203.00,18687449.00,1700.00,1645.00,1660.00
173,2021-04-12,298,12581.00,21081674.00,1700.00,1620.00,1675.00
174,2021-04-08,235,11080.00,17782935.00,1620.00,1581.00,1617.00
175,2021-04-07,168,7135.00,11337376.00,1615.00,1570.00,1575.00
176,2021-04-06,114,4465.00,6913310.00,1591.00,1535.00,1565.00
177,2021-04-05,151,3330.00,5163878.00,1573.00,1530.00,1560.00
178,2021-04-04,133,5901.00,9072877.00,1575.00,1530.00,1543.00
179,2021-04-01,111,3773.00,5912694.00,1599.00,1555.00,1564.00
180,2021-03-31,220,11215.00,17849775.00,1610.00,1575.00,1576.00
181,2021-03-30,592,21024.00,34915444.00,1677.00,1617.00,1667.00
182,2021-03-29,215,8869.00,14455281.00,1651.00,1605.00,1617.00
183,2021-03-25,228,10156.00,16600339.00,1728.00,1621.00,1621.00
184,2021-03-24,197,7179.00,11691453.00,1650.00,1602.00,1646.00
185,2021-03-23,225,7096.00,11376641.00,1618.00,1575.00,1615.00
186,2021-03-22,181,7852.00,12503117.00,1674.00,1580.00,1580.00
187,2021-03-21,271,10490.00,16891516.00,1650.00,1539.00,1642.00
188,2021-03-18,213,7926.00,11956237.00,1540.00,1471.00,1540.00
189,2021-03-17,115,3673.00,5351015.00,1475.00,1423.00,1475.00
190,2021-03-16,151,5082.00,7373915.00,1500.00,1417.00,1444.00
191,2021-03-15,125,2860.00,4134482.00,1507.00,1430.00,1445.00
192,2021-03-14,128,2244.00,3310920.00,1530.00,1460.00,1479.00
193,2021-03-10,123,3480.00,5173924.00,1540.00,1460.00,1540.00
194,2021-03-09,123,3833.00,5727690.00,1525.00,1485.00,1490.00
195,2021-03-07,94,2128.00,3225794.00,1550.00,1502.00,1525.00
196,2021-03-04,176,4716.00,7134315.00,1549.00,1470.00,1534.00
197,2021-03-03,213,6086.00,8817965.00,1480.00,1432.00,1464.00
198,2021-03-02,169,4294.00,6534812.00,1590.00,1487.00,1490.00
199,2021-03-01,218,7835.00,11834146.00,1585.00,1437.00,1545.00
200,2021-02-28,262,8552.00,12936237.00,1560.00,1490.00,1495.00
201,2021-02-25,355,10947.00,17274462.00,1701.00,1531.00,1575.00
202,2021-02-24,405,16519.00,27000554.00,1700.00,1600.00,1620.00
203,2021-02-23,264,8640.00,14126528.00,1700.00,1587.00,1695.00
204,2021-02-22,232,5037.00,8365648.00,1700.00,1630.00,1683.00
205,2021-02-21,220,4992.00,8326429.00,1700.00,1640.00,1660.00
206,2021-02-18,155,4514.00,7636328.00,1700.00,1670.00,1694.00
207,2021-02-17,199,7176.00,12269692.00,1750.00,1690.00,1713.00
208,2021-02-16,271,9207.00,16293042.00,1872.00,1730.00,1750.00
209,2021-02-15,245,6306.00,11016383.00,1754.00,1626.00,1754.00
210,2021-02-14,309,11501.00,18457791.00,1664.00,1541.00,1595.00
211,2021-02-11,295,10266.00,17617648.00,1800.00,1650.00,1680.00
212,2021-02-10,258,8092.00,14297800.00,1799.00,1728.00,1765.00
213,2021-02-09,393,11479.00,20569849.00,1879.00,1750.00,1793.00
214,2021-02-08,722,27982.00,52796828.00,1938.00,1802.00,1857.00
215,2021-02-07,449,18899.00,32669907.00,1762.00,1641.00,1762.00
216,2021-02-04,489,17021.00,27185261.00,1614.00,1544.00,1602.00
217,2021-02-03,339,12145.00,19326889.00,1637.00,1551.00,1575.00
218,2021-02-02,404,15467.00,24325261.00,1611.00,1517.00,1597.00
219,2021-02-01,387,17175.00,26810406.00,1610.00,1537.00,1546.00
220,2021-01-31,634,25667.00,40960740.00,1720.00,1568.00,1579.00
221,2021-01-28,246,10623.00,16960537.00,1600.00,1527.00,1600.00
222,2021-01-27,566,30426.00,43829851.00,1455.00,1373.00,1455.00
223,2021-01-26,267,8353.00,11094107.00,1370.00,1321.00,1323.00
224,2021-01-25,315,9187.00,12447499.00,1382.00,1342.00,1344.00
225,2021-01-24,366,14177.00,19366032.00,1380.00,1345.00,1369.00
226,2021-01-21,438,13447.00,18040744.00,1359.00,1325.00,1356.00
227,2021-01-20,366,12093.00,16222575.00,1382.00,1304.00,1332.00
228,2021-01-19,650,25761.00,35569204.00,1434.00,1317.00,1351.00
229,2021-01-18,972,50962.00,65637582.00,1304.00,1245.00,1304.00
230,2021-01-17,90,3217.00,3805112.00,1186.00,1132.00,1186.00
231,2021-01-13,117,6886.00,7424348.00,1079.00,1030.00,1079.00
232,2021-01-12,31,406.00,396486.00,981.00,909.00,981.00
233,2021-01-11,32,380.00,336520.00,892.00,827.00,892.00
234,2021-01-10,53,635.00,513385.00,811.00,752.00,811.00
235,2020-09-24,156,3241.00,2373095.00,740.00,728.00,738.00
236,2020-09-23,146,2153.00,1575196.00,747.00,721.00,740.00
237,2020-09-22,173,5813.00,4268098.00,741.00,725.00,734.00
238,2020-09-21,187,2758.00,2040710.00,745.00,736.00,741.00
239,2020-09-20,121,3455.00,2579475.00,770.00,740.00,741.00
240,2020-09-17,221,8523.00,6464973.00,770.00,740.00,754.00
241,2020-09-16,143,5457.00,4046115.00,777.00,735.00,745.00
242,2020-09-15,205,5209.00,3897291.00,765.00,735.00,748.00
243,2020-09-14,247,12613.00,9508884.00,769.00,737.00,760.00
244,2020-09-13,189,12187.00,9351494.00,782.00,753.00,773.00
245,2020-09-10,206,11276.00,8907826.00,813.00,761.00,782.00
246,2020-09-09,575,24756.00,18558987.00,779.00,713.00,775.00
247,2020-09-08,168,5292.00,3760529.00,717.00,701.00,709.00
248,2020-09-07,149,4312.00,3016563.00,709.00,691.00,709.00
249,2020-09-06,170,5536.00,3896396.00,739.00,697.00,702.00
250,2020-09-03,160,4522.00,3163142.00,705.00,695.00,704.00
251,2020-09-02,152,4545.00,3211778.00,724.00,701.00,706.00
252,2020-08-31,173,5805.00,4086704.00,711.00,700.00,704.00
253,2020-08-30,83,1698.00,1190258.00,709.00,681.00,703.00
254,2020-08-27,138,2704.00,1915336.00,719.00,702.00,709.00
255,2020-08-26,180,4609.00,3297896.00,722.00,705.00,714.00
256,2020-08-25,161,3897.00,2799365.00,745.00,705.00,717.00
257,2020-08-24,201,5291.00,3774339.00,722.00,701.00,719.00
258,2020-08-23,135,4104.00,2843482.00,714.00,681.00,714.00
259,2020-08-20,68,2401.00,1657160.00,703.00,680.00,694.00
260,2020-08-19,129,4465.00,3082906.00,697.00,687.00,690.00
261,2020-08-18,146,2177.00,1530939.00,710.00,696.00,710.00
262,2020-08-17,205,4011.00,2806811.00,732.00,683.00,718.00
263,2020-08-16,184,5753.00,4001208.00,710.00,680.00,695.00
264,2020-08-13,279,7146.00,5061042.00,751.00,692.00,720.00
265,2020-08-12,231,3541.00,2494608.00,729.00,700.00,705.00
266,2020-08-11,296,5870.00,4222646.00,746.00,690.00,718.00
267,2020-08-10,446,11652.00,8181347.00,761.00,685.00,746.00
268,2020-08-09,395,9707.00,6707094.00,754.00,669.00,692.00
269,2020-08-06,991,31854.00,23756166.00,790.00,715.00,719.00
270,2020-08-05,120,4522.00,3249940.00,719.00,667.00,719.00
271,2020-08-03,27,776.00,506304.00,654.00,606.00,654.00
272,2020-08-02,15,230.00,135750.00,595.00,551.00,595.00
273,2020-07-30,9,90.00,47690.00,541.00,501.00,541.00
274,2020-07-29,8,80.00,38160.00,492.00,450.00,492.00
275,2019-06-06,1,10.00,4640.00,464.00,464.00,464.00
276,2019-06-04,64,650.00,287170.00,450.00,437.00,442.00
277,2019-06-03,64,3226.00,1418450.00,452.00,435.00,452.00
278,2019-06-02,73,1480.00,660410.00,455.00,442.00,445.00
279,2019-05-30,47,1975.00,902705.00,462.00,447.00,456.00
280,2019-05-29,35,1660.00,747220.00,459.00,442.00,448.00
281,2019-05-28,38,1400.00,631440.00,460.00,443.00,460.00
282,2019-05-27,25,440.00,200340.00,460.00,450.00,460.00
283,2019-05-26,42,460.00,205210.00,450.00,443.00,449.00
284,2019-05-23,52,3050.00,1360450.00,457.00,438.00,452.00
285,2019-05-22,23,260.00,119620.00,464.00,458.00,459.00
286,2019-05-21,53,1590.00,732170.00,466.00,456.00,460.00
287,2019-05-20,43,840.00,387090.00,465.00,456.00,460.00
288,2019-05-19,54,915.00,425535.00,475.00,440.00,462.00
289,2019-05-16,84,2338.00,1050706.00,455.00,444.00,444.00
290,2019-05-15,68,2490.00,1143390.00,465.00,455.00,455.00
291,2019-05-14,32,662.00,308142.00,468.00,463.00,466.00
292,2019-05-13,56,1210.00,569680.00,484.00,460.00,475.00
293,2019-05-12,47,2464.00,1162250.00,484.00,466.00,484.00
294,2019-05-09,39,420.00,199300.00,484.00,471.00,484.00
295,2019-05-08,37,870.00,415520.00,480.00,475.00,477.00
296,2019-05-07,46,790.00,382030.00,489.00,480.00,480.00
297,2019-05-06,45,730.00,354680.00,490.00,480.00,486.00
298,2019-05-05,53,950.00,460780.00,490.00,480.00,485.00
299,2019-05-02,36,740.00,367740.00,500.00,489.00,496.00
300,2019-04-30,42,840.00,417390.00,500.00,491.00,498.00
301,2019-04-29,46,1460.00,720590.00,500.00,490.00,499.00
302,2019-04-28,64,2390.00,1197970.00,511.00,486.00,508.00
303,2019-04-25,33,900.00,441470.00,502.00,483.00,490.00
304,2019-04-24,40,746.00,367160.00,502.00,487.00,493.00
305,2019-04-23,39,780.00,385370.00,497.00,490.00,493.00
306,2019-04-22,30,1430.00,720950.00,514.00,495.00,495.00
307,2019-04-21,47,1720.00,855760.00,510.00,490.00,510.00
308,2019-04-18,58,1320.00,675820.00,520.00,502.00,502.00
309,2019-04-17,101,5130.00,2606840.00,520.00,495.00,515.00
310,2019-04-16,65,1150.00,565560.00,501.00,475.00,493.00
311,2019-04-15,90,1890.00,900710.00,490.00,470.00,478.00
312,2019-04-11,88,3988.00,1922420.00,499.00,474.00,486.00
313,2019-04-10,80,1660.00,809690.00,500.00,482.00,484.00
314,2019-04-09,42,1460.00,734500.00,523.00,496.00,498.00
315,2019-04-08,146,1980.00,988320.00,519.00,480.00,511.00
316,2019-04-07,92,2370.00,1161600.00,500.00,480.00,480.00
317,2019-04-04,129,1650.00,834610.00,515.00,500.00,505.00
318,2019-04-03,87,1276.00,646778.00,517.00,497.00,509.00
319,2019-04-02,103,1110.00,564250.00,513.00,502.00,506.00
320,2019-04-01,187,2180.00,1123242.00,524.00,510.00,513.00
321,2019-03-31,99,1450.00,755530.00,528.00,518.00,524.00
322,2019-03-28,86,1130.00,599160.00,535.00,526.00,527.00
323,2019-03-27,100,1210.00,642030.00,545.00,525.00,535.00
324,2019-03-26,87,990.00,528830.00,540.00,531.00,533.00
325,2019-03-25,90,960.00,518570.00,545.00,535.00,540.00
326,2019-03-24,119,1440.00,781920.00,565.00,540.00,548.00
327,2019-03-21,94,1470.00,824440.00,582.00,554.00,554.00
328,2019-03-19,48,1794.00,1008661.00,569.00,552.00,555.00
329,2019-03-18,91,1570.00,879810.00,569.00,552.00,559.00
330,2019-03-17,126,1730.00,967180.00,571.00,553.00,569.00
331,2019-03-14,83,1208.00,679392.00,568.00,555.00,560.00
332,2019-03-13,98,1090.00,615360.00,578.00,560.00,562.00
333,2019-03-12,97,1640.00,931630.00,580.00,561.00,567.00
334,2019-03-11,167,2700.00,1528740.00,574.00,555.00,571.00
335,2019-03-10,47,910.00,513410.00,570.00,560.00,567.00
336,2019-03-07,128,1810.00,1015090.00,583.00,555.00,566.00
337,2019-03-06,217,2480.00,1380430.00,563.00,550.00,556.00
338,2019-03-05,193,2540.00,1426590.00,570.00,560.00,561.00
339,2019-03-03,237,3260.00,1880810.00,585.00,570.00,570.00
340,2019-02-27,153,1970.00,1148550.00,591.00,580.00,584.00
341,2019-02-26,297,4240.00,2471270.00,590.00,581.00,581.00
342,2019-02-25,430,5670.00,3299940.00,594.00,575.00,588.00
343,2019-02-24,1474,17370.00,10310980.00,610.00,584.00,586.00
344,2019-02-21,3585,42215.00,25068191.00,601.00,547.00,601.00
345,2019-02-20,10,100.00,54000.00,547.00,522.00,547.00
346,2019-02-19,4,530.00,263520.00,498.00,453.00,498.00
347,2019-02-18,4,40.00,17730.00,453.00,412.00,453.00
348,2019-02-17,7,130.00,52130.00,412.00,393.00,412.00
349,2019-02-14,1,10.00,3750.00,375.00,358.00,375.00
350,2019-02-13,5,50.00,17600.00,358.00,326.00,358.00
351,2019-02-12,1,10.00,3260.00,326.00,311.00,326.00
352,2019-02-11,5,50.00,15290.00,311.00,283.00,311.00
353,2019-02-06,1,10.00,2830.00,283.00,270.00,283.00
354,2019-02-05,1,10.00,2700.00,270.00,258.00,270.00
355,2019-01-31,3,30.00,7600.00,258.00,238.00,258.00
356,2019-01-08,1,10.00,2380.00,238.00,227.00,238.00
357,2019-01-07,1,2.00,454.00,227.00,227.00,227.00
